0, 13CPU burst
13, 1, switch to kernel mode
14, 10, context saved
24, 1, find vector 11 in memory position 0x0016
25, 1, load address 0X01F8 into the PC
26, 40 ,call device driver
66, 40 ,call device driver
106, 40 ,call device driver
146, 40 ,call device driver
186, 40 ,call device driver
226, 40 ,call device driver
266, 40 ,call device driver
306, 40 ,call device driver
346, 40 ,call device driver
386, 40 ,call device driver
426, 40 ,call device driver
466, 40 ,call device driver
506, 40 ,call device driver
546, 3 ,call device driver
549, 1, IRET
550, 10, context restored
560, 1, switch to user mode
1, 52CPU burst
53, 1, switch to kernel mode
54, 10, context saved
64, 1, find vector 11 in memory position 0x0016
65, 1, load address 0X01F8 into the PC
66, 40 ,ISR body for end_io11
106, 40 ,ISR body for end_io11
146, 40 ,ISR body for end_io11
186, 40 ,ISR body for end_io11
226, 40 ,ISR body for end_io11
266, 40 ,ISR body for end_io11
306, 40 ,ISR body for end_io11
346, 40 ,ISR body for end_io11
386, 40 ,ISR body for end_io11
426, 40 ,ISR body for end_io11
466, 40 ,ISR body for end_io11
506, 40 ,ISR body for end_io11
546, 40 ,ISR body for end_io11
586, 3 ,ISR body for end_io11
589, 1, IRET
590, 10, context restored
600, 1, switch to user mode
1, 95CPU burst
96, 1, switch to kernel mode
97, 10, context saved
107, 1, find vector 9 in memory position 0x0012
108, 1, load address 0X036C into the PC
109, 40 ,call device driver
149, 40 ,call device driver
189, 40 ,call device driver
229, 36 ,call device driver
265, 1, IRET
266, 10, context restored
276, 1, switch to user mode
1, 26CPU burst
27, 1, switch to kernel mode
28, 10, context saved
38, 1, find vector 9 in memory position 0x0012
39, 1, load address 0X036C into the PC
40, 40 ,ISR body for end_io9
80, 40 ,ISR body for end_io9
120, 40 ,ISR body for end_io9
160, 36 ,ISR body for end_io9
196, 1, IRET
197, 10, context restored
207, 1, switch to user mode
1, 34CPU burst
35, 1, switch to kernel mode
36, 10, context saved
46, 1, find vector 1 in memory position 0x0002
47, 1, load address 0X029C into the PC
48, 40 ,call device driver
88, 40 ,call device driver
128, 20 ,call device driver
148, 1, IRET
149, 10, context restored
159, 1, switch to user mode
1, 54CPU burst
55, 1, switch to kernel mode
56, 10, context saved
66, 1, find vector 1 in memory position 0x0002
67, 1, load address 0X029C into the PC
68, 40 ,ISR body for end_io1
108, 40 ,ISR body for end_io1
148, 20 ,ISR body for end_io1
