//trace_1 testcase (context time = 10, ISR activity time = 40)

    0, 75CPU burst
    75, 1, switch to kernel mode
    76, 10, context saved
    86, 1, find vector 5 in memory position 0x000A
    87, 1, load address 0X048B into the PC
    88, 40 ,call device driver
    128, 40 ,call device driver
    168, 40 ,call device driver
    208, 40 ,call device driver
    248, 40 ,call device driver
    288, 11 ,call device driver
    299, 1, IRET
    300, 10, context restored
    310, 1, switch to user mode
    1, 84CPU burst
    85, 1, switch to kernel mode
    86, 10, context saved
    96, 1, find vector 5 in memory position 0x000A
    97, 1, load address 0X048B into the PC
    98, 40 ,ISR body for end_io5
    138, 40 ,ISR body for end_io5
    178, 40 ,ISR body for end_io5
    218, 40 ,ISR body for end_io5
    258, 40 ,ISR body for end_io5
    298, 11 ,ISR body for end_io5
    309, 1, IRET
    310, 10, context restored
    320, 1, switch to user mode
    1, 22CPU burst
    23, 1, switch to kernel mode
    24, 10, context saved
    34, 1, find vector 10 in memory position 0x0014
    35, 1, load address 0X07B0 into the PC
    36, 40 ,call device driver
    76, 40 ,call device driver
    116, 40 ,call device driver
    156, 40 ,call device driver
    196, 40 ,call device driver
    236, 40 ,call device driver
    276, 40 ,call device driver
    316, 40 ,call device driver
    356, 40 ,call device driver
    396, 40 ,call device driver
    436, 40 ,call device driver
    476, 40 ,call device driver
    516, 40 ,call device driver
    556, 40 ,call device driver
    596, 4 ,call device driver
    600, 1, IRET
    601, 10, context restored
    611, 1, switch to user mode
    1, 80CPU burst
    81, 1, switch to kernel mode
    82, 10, context saved
    92, 1, find vector 10 in memory position 0x0014
    93, 1, load address 0X07B0 into the PC
    94, 40 ,ISR body for end_io10
    134, 40 ,ISR body for end_io10
    174, 40 ,ISR body for end_io10
    214, 40 ,ISR body for end_io10
    254, 40 ,ISR body for end_io10
    294, 40 ,ISR body for end_io10
    334, 40 ,ISR body for end_io10
    374, 40 ,ISR body for end_io10
    414, 40 ,ISR body for end_io10
    454, 40 ,ISR body for end_io10
    494, 40 ,ISR body for end_io10
    534, 40 ,ISR body for end_io10
    574, 40 ,ISR body for end_io10
    614, 40 ,ISR body for end_io10
    654, 4 ,ISR body for end_io10
    658, 1, IRET
    659, 10, context restored
    669, 1, switch to user mode
    1, 79CPU burst
    80, 1, switch to kernel mode
    81, 10, context saved
    91, 1, find vector 6 in memory position 0x000C
    92, 1, load address 0X0639 into the PC
    93, 40 ,call device driver
    133, 40 ,call device driver
    173, 40 ,call device driver
    213, 40 ,call device driver
    253, 40 ,call device driver
    293, 40 ,call device driver
    333, 25 ,call device driver
    358, 1, IRET
    359, 10, context restored
    369, 1, switch to user mode
    1, 68CPU burst
    69, 1, switch to kernel mode
    70, 10, context saved
    80, 1, find vector 6 in memory position 0x000C
    81, 1, load address 0X0639 into the PC
    82, 40 ,ISR body for end_io6
    122, 40 ,ISR body for end_io6
    162, 40 ,ISR body for end_io6
    202, 40 ,ISR body for end_io6
    242, 40 ,ISR body for end_io6
    282, 40 ,ISR body for end_io6
    322, 25 ,ISR body for end_io6
    347, 1, IRET
    348, 10, context restored
    358, 1, switch to user mode
    1, 71CPU burst
    72, 1, switch to kernel mode
    73, 10, context saved
